|appid|game|developer|publisher|positive|negative|average_forever|average_2weeks|median_forever|median_2weeks|ccu|genre|tags
807|696370|BROKE PROTOCOL: Online City RPG|Cylinder Studios|Cylinder Studios|2098|728|342|0|424|0|34|Action, Adventure, Casual, Indie, Massively Multiplayer, RPG, Simulation, Early Access|"{""RPG"":86,""Indie"":85,""Massively Multiplayer"":84,""Simulation"":82,""Early Access"":81,""Action"":80,""Open World"":68,""Multiplayer"":67,""Casual"":65,""Adventure"":40,""Shooter"":37,""Singleplayer"":30,""First-Person"":28,""Violent"":22,""Action-Adventure"":20,""Nudity"":16,""Retro"":15,""Level Editor"":15,""Dating Sim"":14,""MMORPG"":12}"
808|22000|World of Goo|2D BOY|2D BOY|4825|284|154|0|55|0|13|Indie|"{""Puzzle"":496,""Indie"":405,""Physics"":356,""Singleplayer"":274,""Great Soundtrack"":250,""Casual"":205,""2D"":184,""Cute"":120,""Comedy"":110,""Building"":100,""Atmospheric"":81,""Funny"":80,""Satire"":74,""Classic"":73,""Touch-Friendly"":69,""Surreal"":66,""Difficult"":57,""Story Rich"":54,""Strategy"":39,""Family Friendly"":25}"
809|530620|Resident Evil 7 Teaser: Beginning Hour|CAPCOM Co., Ltd.|CAPCOM Co., Ltd.|3775|491|53|0|22|0|14|Action, Adventure|"{""Horror"":531,""Survival Horror"":326,""Free to Play"":297,""Gore"":293,""Multiplayer"":270,""First-Person"":253,""Zombies"":223,""Action"":218,""Psychological Horror"":198,""Survival"":196,""Violent"":193,""Adventure"":181,""Atmospheric"":165,""Singleplayer"":138,""FPS"":129,""Puzzle"":96,""Mature"":84,""Nudity"":77,""Shooter"":76,""VR"":40}"
810|1418100|Swords of Legends Online|Wangyuan Shengtang Entertainment Technology CO., \u4e0a\u6d77\u70db\u9f99\u4fe1\u606f\u79d1\u6280\u6709\u9650\u516c\u53f8|Gameforge 4D GmbH|3782|1739|1720|0|1595|0|415|Free to Play, Massively Multiplayer, RPG|"{""Free to Play"":382,""MMORPG"":337,""Open World"":325,""Character Customization"":322,""Action RPG"":317,""Fantasy"":309,""Massively Multiplayer"":305,""Third Person"":302,""RPG"":299,""Multiplayer"":295,""Story Rich"":283,""Online Co-Op"":280,""Co-op"":275,""Adventure"":267,""Action"":267,""Sandbox"":256,""Atmospheric"":245,""Magic"":234,""Female Protagonist"":217,""Singleplayer"":213}"
811|250320|The Wolf Among Us|Telltale|Telltale|28090|658|606|0|538|0|54|Action, Adventure, Casual|"{""Adventure"":984,""Detective"":889,""Story Rich"":849,""Episodic"":766,""Point & Click"":733,""Noir"":649,""Mature"":634,""Choose Your Own Adventure"":520,""Comic Book"":504,""Singleplayer"":488,""Atmospheric"":450,""Mystery"":428,""Cinematic"":340,""Dark"":335,""Well-Written"":260,""Fantasy"":236,""Quick-Time Events"":191,""Choices Matter"":189,""Great Soundtrack"":182,""Nudity"":169}"
812|816020|JUMP FORCE|Spike Chunsoft Co., Ltd.|BANDAI NAMCO Entertainment|16194|5799|836|5|380|5|88|Action|"{""Anime"":302,""Fighting"":266,""Action"":255,""Multiplayer"":176,""Character Customization"":171,""Singleplayer"":108,""Local Multiplayer"":103,""RPG"":58,""Open World"":52,""Controller"":48,""Beat 'em up"":42,""Co-op"":39,""Story Rich"":34,""Casual"":31,""Nudity"":31,""Violent"":29,""Fantasy"":26,""Massively Multiplayer"":24,""Great Soundtrack"":19,""3D Fighter"":18}"
813|367450|Poly Bridge|Dry Cactus|Dry Cactus|13509|1253|511|3|133|5|129|Indie, Simulation|"{""Building"":375,""Simulation"":298,""Physics"":295,""Puzzle"":280,""Singleplayer"":203,""Sandbox"":183,""Difficult"":171,""Indie"":168,""Funny"":163,""Great Soundtrack"":159,""Level Editor"":159,""Education"":157,""Family Friendly"":157,""Crafting"":150,""Cartoon"":148,""Colorful"":146,""Cute"":145,""Stylized"":139,""Strategy"":136,""Choices Matter"":136}"
814|977950|A Dance of Fire and Ice|7th Beat Games|7th Beat Games, indienova|42287|2811|675|60|252|78|1606|Indie|"{""Rhythm"":272,""Music"":198,""Indie"":158,""Difficult"":150,""Great Soundtrack"":112,""Singleplayer"":97,""2D"":76,""Level Editor"":75,""Action"":36,""Casual"":22,""Psychological Horror"":22,""Atmospheric"":7,""Sexual Content"":6,""Horror"":5}"
815|280|Half-Life: Source|Valve|Valve|8415|3260|155|0|78|0|37|Action|"{""FPS"":387,""Action"":289,""Classic"":230,""Sci-fi"":212,""Singleplayer"":197,""Shooter"":178,""First-Person"":177,""Aliens"":149,""Zombies"":121,""1990's"":121,""Story Rich"":116,""Adventure"":97,""Remake"":90,""Atmospheric"":86,""Silent Protagonist"":62,""Horror"":57,""Multiplayer"":56,""Great Soundtrack"":46,""Moddable"":45,""Gore"":21}"
816|329110|Gems of War - Puzzle RPG|Infinity Plus 2|505 Games|7016|1717|7550|328|472|328|2070|Action, Adventure, Casual, Free to Play, RPG, Strategy|"{""Free to Play"":343,""Match 3"":292,""Puzzle"":232,""PvE"":213,""PvP"":210,""Card Game"":208,""Strategy RPG"":205,""Turn-Based Strategy"":202,""RPG"":199,""Strategy"":188,""2D"":187,""Turn-Based Combat"":184,""Story Rich"":181,""Singleplayer"":177,""Casual"":173,""Fantasy"":127,""Magic"":125,""War"":117,""Adventure"":108,""Multiplayer"":107}"
817|222480|Resident Evil Revelations|Capcom|Capcom|9185|1495|1469|0|333|0|92|Action, Adventure|"{""Action"":280,""Horror"":279,""Zombies"":246,""Survival Horror"":225,""Third-Person Shooter"":208,""Adventure"":183,""Co-op"":137,""Female Protagonist"":132,""Third Person"":118,""Singleplayer"":105,""Online Co-Op"":100,""Multiplayer"":85,""Survival"":85,""Atmospheric"":79,""Shooter"":72,""Gore"":45,""Sci-fi"":41,""Great Soundtrack"":21,""Story Rich"":15,""Local Co-Op"":9}"
818|9420|Supreme Commander: Forged Alliance|Gas Powered Games|Square Enix|10611|339|3065|263|237|446|1235|Strategy|"{""Strategy"":441,""RTS"":391,""Sci-fi"":247,""Multiplayer"":221,""Singleplayer"":167,""Grand Strategy"":154,""Base-Building"":146,""Co-op"":126,""Moddable"":112,""Real-Time with Pause"":97,""Robots"":93,""Competitive"":83,""Real-Time"":79,""Action"":61,""Online Co-Op"":51,""Classic"":41,""Great Soundtrack"":33,""Space"":32,""War"":24,""Adventure"":22}"
819|335330|Brick-Force|Exe Games Inc.|Infernum Games GmbH|1657|2340|139|0|28|0|0|Action, Free to Play|"{""Free to Play"":390,""Multiplayer"":243,""FPS"":208,""Building"":203,""Shooter"":193,""Action"":190,""PvP"":170,""Sandbox"":156,""Zombies"":122,""Competitive"":94,""Co-op"":75,""First-Person"":71,""Funny"":63,""Open World"":60,""Survival"":54,""Casual"":53,""Massively Multiplayer"":51,""Adventure"":50,""Singleplayer"":43,""Indie"":41}"
820|23490|Tropico 3|Haemimont Games|Kalypso Media Digital|1526|197|193|0|53|0|10|Simulation, Strategy|"{""Simulation"":163,""Strategy"":142,""City Builder"":130,""Management"":89,""Politics"":65,""Sandbox"":60,""Singleplayer"":58,""Economy"":43,""Satire"":41,""Comedy"":40,""Funny"":38,""Great Soundtrack"":30,""Cold War"":30,""Political Sim"":27,""Atmospheric"":17,""Multiplayer"":8,""Open World"":6,""Classic"":6}"
821|258970|Gauntlet Slayer Edition|Arrowhead Game Studios|WB Games|6994|1663|467|0|235|0|76|Action, Adventure, RPG|"{""Co-op"":316,""Dungeon Crawler"":244,""Hack and Slash"":221,""Local Co-Op"":217,""Action"":207,""RPG"":203,""Multiplayer"":175,""Adventure"":137,""Top-Down"":129,""4 Player Local"":121,""Arcade"":116,""Online Co-Op"":113,""Remake"":105,""Classic"":97,""Fantasy"":97,""Local Multiplayer"":93,""Action RPG"":61,""Isometric"":46,""Old School"":29,""Casual"":24}"
822|337950|The SKIES - BETA|Eforb|Eforb|1686|2313|62|0|22|0|0|Free to Play, Massively Multiplayer, RPG, Early Access|"{""Free to Play"":629,""Survival"":501,""Multiplayer"":487,""Open World"":466,""Massively Multiplayer"":326,""Post-apocalyptic"":280,""Shooter"":228,""Zombies"":223,""Early Access"":204,""RPG"":180,""Crafting"":176,""FPS"":172,""Action"":154,""Co-op"":143,""First-Person"":140,""PvP"":122,""Adventure"":109,""Third Person"":86,""Third-Person Shooter"":81,""Horror"":68}"
823|238430|Contagion|Monochrome, Inc|Monochrome, Inc|10553|4025|470|174|187|174|31|Action, Adventure, Indie|"{""Zombies"":791,""Co-op"":534,""Horror"":532,""Level Editor"":522,""FPS"":520,""Moddable"":519,""Post-apocalyptic"":515,""PvE"":513,""First-Person"":503,""PvP"":503,""Survival Horror"":494,""Shooter"":490,""Competitive"":485,""Survival"":478,""Split Screen"":428,""3D"":416,""Action"":406,""Local Co-Op"":402,""Atmospheric"":401,""Local Multiplayer"":401}"
824|20510|S.T.A.L.K.E.R.: Clear Sky|GSC Game World|GSC World Publishing|13581|2267|954|897|525|897|294|Action, RPG|"{""Open World"":666,""Atmospheric"":586,""Post-apocalyptic"":549,""Survival"":516,""FPS"":516,""Action"":431,""First-Person"":333,""RPG"":328,""Shooter"":308,""Singleplayer"":295,""Survival Horror"":223,""Adventure"":201,""Multiplayer"":198,""Horror"":192,""Classic"":186,""Sci-fi"":186,""Moddable"":174,""Zombies"":167,""Inventory Management"":123,""Sandbox"":72}"
825|38410|Fallout 2: A Post Nuclear Role Playing Game|Black Isle Studios|Bethesda Softworks|10311|633|823|63|102|87|259|RPG|"{""RPG"":727,""Post-apocalyptic"":628,""Classic"":486,""Open World"":387,""Isometric"":386,""Turn-Based Combat"":305,""Turn-Based"":297,""Singleplayer"":279,""Atmospheric"":227,""Sci-fi"":226,""Story Rich"":214,""Great Soundtrack"":159,""Retro"":159,""Exploration"":155,""Dark Humor"":149,""Replay Value"":145,""CRPG"":139,""Adventure"":132,""Sandbox"":103,""2D"":89}"
826|232050|Eador. Masters of the Broken World|Snowbird Games|Snowbird Games|1750|815|586|0|275|0|59|Indie, RPG, Strategy|"{""Strategy"":1959,""Turn-Based Strategy"":128,""Fantasy"":110,""Turn-Based"":90,""RPG"":81,""Indie"":80,""Singleplayer"":43,""Tactical"":39,""4X"":35,""Hex Grid"":31,""Difficult"":30,""Turn-Based Tactics"":13,""Multiplayer"":11,""Tactical RPG"":9,""Adventure"":7,""Magic"":5}"
827|704270|Generation Zero|Systemic Reaction\u2122|Systemic Reaction\u2122|18714|8696|937|287|359|458|624|Action, Adventure|"{""Adventure"":360,""Open World"":356,""Action"":340,""Survival"":280,""Co-op"":256,""Multiplayer"":242,""Robots"":226,""FPS"":212,""Post-apocalyptic"":176,""Online Co-Op"":168,""Singleplayer"":166,""First-Person"":132,""Mechs"":122,""1980s"":115,""Sci-fi"":113,""Horror"":109,""Shooter"":108,""Stealth"":107,""Atmospheric"":91,""Great Soundtrack"":67}"
828|704850|Thief Simulator|Noble Muffins|PlayWay S.A., Console Labs S.A.|15737|2349|476|51|249|51|169|Action, Adventure, Indie, Simulation|"{""Simulation"":337,""Stealth"":240,""Crime"":210,""Singleplayer"":202,""Adventure"":192,""First-Person"":182,""Action"":172,""Open World"":165,""Heist"":138,""Indie"":133,""Sandbox"":102,""Realistic"":97,""Strategy"":92,""Funny"":72,""Exploration"":67,""Silent Protagonist"":57,""Atmospheric"":55,""Co-op"":52,""Casual"":48,""Walking Simulator"":40}"
829|232010|Euro Truck Simulator|SCS Software|SCS Software|5375|1148|268|0|98|0|41|Indie, Simulation|"{""Simulation"":391,""Automobile Sim"":387,""Driving"":255,""Open World"":198,""Singleplayer"":174,""Multiplayer"":174,""Realistic"":131,""First-Person"":113,""Indie"":111,""Relaxing"":109,""TrackIR"":70,""Moddable"":45,""Adventure"":40,""Third Person"":36,""Atmospheric"":29,""Management"":29,""Exploration"":28,""Sandbox"":26,""Action"":21,""Online Co-Op"":19}"
830|996470|eFootball  PES 2020|Konami Digital Entertainment|Konami Digital Entertainment|18567|7692|2835|0|260|0|543|Sports|"{""Sports"":484,""Soccer"":189,""Multiplayer"":128,""Free to Play"":115,""Singleplayer"":111,""Football"":100,""Simulation"":94,""Online Co-Op"":63,""Realistic"":59,""Local Multiplayer"":54,""Open World"":33,""Controller"":32,""Co-op"":26,""Psychological Horror"":5}"
831|635260|CarX Drift Racing Online|CarX Technologies, LLC|CarX Technologies, LLC|47862|2319|2493|40|817|42|3155|Massively Multiplayer, Racing, Simulation, Sports|"{""Racing"":300,""Driving"":195,""Simulation"":148,""Multiplayer"":143,""Automobile Sim"":142,""Sports"":130,""Massively Multiplayer"":98,""Open World"":95,""Arcade"":58,""Singleplayer"":56,""Controller"":53,""Local Multiplayer"":44,""Realistic"":38,""Co-op"":37,""VR"":28,""Early Access"":19,""Casual"":17,""Action"":16,""Games Workshop"":9,""Mod"":9}"
832|17480|Command & Conquer: Red Alert 3|EA Los Angeles|Electronic Arts|9609|1655|974|10|298|10|504|Strategy|"{""Strategy"":715,""RTS"":613,""Base-Building"":544,""Multiplayer"":290,""Co-op"":273,""Alternate History"":194,""Singleplayer"":187,""Sci-fi"":179,""Co-op Campaign"":176,""Real-Time"":176,""War"":166,""Online Co-Op"":121,""Action"":116,""Classic"":108,""Comedy"":98,""Great Soundtrack"":97,""FMV"":70,""Atmospheric"":38,""Story Rich"":14,""Nudity"":12}"
833|20500|Red Faction Guerrilla Steam Edition|Volition, Reactor Zero, THQ Nordic|Deep Silver|6708|715|791|0|257|0|21|Action|"{""Open World"":359,""Destruction"":310,""Action"":307,""Physics"":237,""Sci-fi"":188,""Third Person"":179,""Mars"":161,""Third-Person Shooter"":153,""Multiplayer"":137,""Singleplayer"":134,""Sandbox"":104,""Shooter"":96,""Adventure"":77,""Atmospheric"":50,""Co-op"":34,""Great Soundtrack"":32,""Controller"":26,""Survival"":20,""FPS"":16,""Funny"":13}"
834|333420|Cossacks 3|GSC Game World|GSC Game World|8758|2048|1502|42|853|45|973|Action, Adventure, Strategy|"{""Strategy"":498,""RTS"":347,""War"":319,""Multiplayer"":318,""Singleplayer"":308,""Historical"":305,""Action RTS"":304,""Resource Management"":301,""PvP"":295,""PvE"":293,""3D"":286,""Base-Building"":286,""Isometric"":266,""Action"":263,""City Builder"":260,""Open World"":259,""Co-op"":259,""Economy"":241,""Replay Value"":226,""Real-Time with Pause"":225}"
835|253900|Knights and Merchants|Topware Interactive|Topware Interactive|3448|651|333|32|249|32|90|Simulation, Strategy|"{""Strategy"":1522,""Colony Sim"":161,""Medieval"":154,""City Builder"":134,""RTS"":128,""Simulation"":119,""Classic"":113,""Singleplayer"":68,""Historical"":63,""Multiplayer"":54,""Old School"":43,""Cult Classic"":42,""Resource Management"":41,""Great Soundtrack"":34,""Management"":29,""Difficult"":25,""2D"":22,""Economy"":17,""Nostalgia"":9,""Top-Down"":6}"
836|380840|Teeworlds|Teeworlds Team|Teeworlds Team|3783|477|179|0|29|0|24|Action, Free to Play, Indie|"{""Free to Play"":253,""Multiplayer"":157,""2D"":143,""Action"":139,""Platformer"":104,""Shooter"":83,""Indie"":79,""Side Scroller"":65,""Co-op"":57,""Arena Shooter"":54,""Funny"":53,""Level Editor"":50,""Massively Multiplayer"":33,""Cute"":32,""PvP"":31,""Adventure"":29,""Online Co-Op"":26,""Team-Based"":26,""Strategy"":23,""Controller"":16}"
837|13520|Far Cry|Crytek Studios|Ubisoft|5813|1243|983|3|98|3|68|Action|"{""FPS"":334,""Action"":261,""Classic"":219,""Shooter"":164,""Open World"":146,""Singleplayer"":140,""First-Person"":139,""Difficult"":127,""Stealth"":118,""Multiplayer"":107,""Adventure"":95,""Atmospheric"":77,""Story Rich"":50,""Sci-fi"":45,""Horror"":43,""Sandbox"":37,""Great Soundtrack"":19,""Co-op"":19,""Survival"":13,""Zombies"":11}"
838|214510|LEGO The Lord of the Rings|Traveller's Tales|Warner Bros. Interactive Entertainment|9518|1059|399|17|123|17|227|Action, Adventure|"{""LEGO"":436,""Adventure"":280,""Local Co-Op"":225,""Action"":208,""Comedy"":159,""Fantasy"":158,""Open World"":147,""Family Friendly"":109,""Singleplayer"":101,""Funny"":99,""Co-op"":98,""Casual"":80,""Platformer"":61,""Split Screen"":60,""Controller"":59,""Local Multiplayer"":58,""Multiplayer"":51,""Third Person"":50,""Puzzle"":48,""3D Vision"":17}"
839|794600|LET IT DIE|GRASSHOPPER MANUFACTURE INC., SUPERTRICK GAMES, Inc.|GungHo Online Entertainment America, Inc.|3601|1286|1074|0|80|0|163|Action, Free to Play|"{""Free to Play"":302,""Action"":171,""Gore"":146,""Souls-like"":141,""Nudity"":132,""Sexual Content"":127,""Multiplayer"":123,""Rogue-like"":114,""Singleplayer"":106,""Violent"":103,""Hack and Slash"":87,""Third Person"":81,""Difficult"":73,""Great Soundtrack"":66,""Blood"":65,""Dark Comedy"":65,""Funny"":58,""Asynchronous Multiplayer"":57,""Surreal"":55,""Cyberpunk"":55}"
840|9880|Champions Online|Cryptic Studios|Perfect World Entertainment|2738|1090|232|0|109|0|153|Free to Play, Massively Multiplayer, RPG|"{""Free to Play"":227,""Superhero"":154,""Massively Multiplayer"":142,""Character Customization"":134,""RPG"":127,""MMORPG"":119,""Open World"":83,""Multiplayer"":71,""Action"":68,""Third Person"":52,""Co-op"":38,""Adventure"":33,""Comic Book"":23,""Sci-fi"":20,""Action RPG"":20,""Online Co-Op"":19,""Singleplayer"":19,""Controller"":17,""PvP"":15,""FPS"":9}"
841|282660|Easy eSports|EasyAntiCheat Ltd|EasyAntiCheat Ltd|8051|1944|1804|0|132|0|6|Utilities|"{""Utilities"":128,""Free to Play"":83,""Software"":14,""Multiplayer"":10,""e-sports"":8}"
842|17570|Pirates, Vikings, and Knights II|Octoshark Studios|Octoshark Studios|4856|679|219|0|42|0|20|Action, Free to Play, Indie|"{""Free to Play"":375,""Multiplayer"":183,""Medieval"":165,""Action"":164,""Pirates"":155,""FPS"":105,""Funny"":105,""Swordplay"":103,""Indie"":88,""First-Person"":87,""Hack and Slash"":85,""Mod"":80,""Historical"":62,""PvP"":60,""Vikings"":60,""Fast-Paced"":56,""Singleplayer"":49,""Shooter"":42,""Massively Multiplayer"":37,""Memes"":33}"
843|49600|Beat Hazard|Cold Beam Games|Cold Beam Games|6759|368|342|0|199|0|3|Action, Casual, Indie|"{""Music"":531,""2D"":388,""Twin Stick Shooter"":369,""Shoot 'Em Up"":366,""Bullet Hell"":362,""Rhythm"":359,""Shooter"":353,""Arcade"":351,""Music-Based Procedural Generation"":345,""Action"":342,""Casual"":336,""Colorful"":334,""Space"":332,""Co-op"":328,""Local Co-Op"":321,""Multiplayer"":317,""Singleplayer"":314,""Indie"":309,""Replay Value"":110,""Addictive"":107}"
844|311560|Assassin\u2019s Creed Rogue|Ubisoft Sofia, Ubisoft Kiev|Ubisoft|10580|1903|827|1266|515|1266|346|Action, Adventure|"{""Open World"":465,""Assassin"":420,""Action"":358,""Parkour"":344,""Third Person"":308,""Stealth"":306,""Adventure"":299,""Historical"":246,""Singleplayer"":241,""Cinematic"":144,""Pirates"":134,""Atmospheric"":134,""Illuminati"":122,""Story Rich"":117,""Action-Adventure"":88,""Sandbox"":55,""Quick-Time Events"":48,""Puzzle"":41,""Simulation"":31,""Co-op"":23}"
845|293260|Card Hunter|The Knights of Unity|The Knights of Unity|4185|684|640|1|165|1|76|Free to Play, RPG, Strategy|"{""Free to Play"":291,""Card Game"":256,""Tabletop"":241,""Tactical RPG"":219,""Board Game"":212,""Turn-Based"":208,""Strategy"":205,""Multiplayer"":200,""Co-op"":198,""Fantasy"":194,""RPG"":194,""Singleplayer"":193,""Turn-Based Strategy"":93,""Dungeon Crawler"":83,""Indie"":71,""Trading Card Game"":69,""Tactical"":66,""Comedy"":65,""Turn-Based Tactics"":64,""Funny"":56}"
846|1509960|PICO PARK|TECOPARK|TECOPARK|14396|1234|167|93|155|115|314|Action, Casual, Indie|"{""Multiplayer"":207,""Online Co-Op"":184,""Puzzle-Platformer"":144,""Casual"":142,""Cute"":133,""Co-op"":118,""Local Multiplayer"":106,""Action"":96,""Platformer"":94,""Local Co-Op"":93,""2D"":71,""Pixel Graphics"":65,""Indie"":64,""Retro"":59,""Funny"":51,""Horror"":48,""Puzzle"":46,""Party Game"":31,""Difficult"":28,""Souls-like"":24}"
847|418070|Turbo Pug|Space Cat Studios, SnowFlame, Back To Basics Gaming|Back To Basics Gaming|3069|310|194|0|209|0|4|Casual, Indie|"{""Indie"":392,""Pixel Graphics"":77,""Casual"":70,""2D"":58,""Difficult"":54,""Side Scroller"":45,""Runner"":38,""Platformer"":30,""Singleplayer"":12,""Cute"":11,""Memes"":9,""Dog"":6,""Great Soundtrack"":5}"
848|214340|Deponia|Daedalic Entertainment|Daedalic Entertainment|9438|1297|346|93|213|93|50|Adventure, Indie|"{""Adventure"":497,""Point & Click"":470,""Comedy"":373,""Puzzle"":255,""Singleplayer"":232,""Funny"":182,""Indie"":163,""Story Rich"":153,""2D"":122,""Dark Humor"":98,""Great Soundtrack"":85,""Hand-drawn"":77,""Escape Room"":72,""Steampunk"":57,""Classic"":48,""Retro"":40,""Sci-fi"":25,""Dystopian "":21,""Cult Classic"":18,""Hidden Object"":14}"
849|17430|Need for Speed Undercover|EA Black Box|Electronic Arts|5621|1906|812|17|680|17|26|Action, Racing|"{""Racing"":348,""Open World"":174,""Multiplayer"":132,""Action"":121,""Automobile Sim"":108,""Driving"":95,""Arcade"":79,""Singleplayer"":78,""Simulation"":42,""Story Rich"":39,""Great Soundtrack"":25,""Controller"":21,""Classic"":9,""Online Co-Op"":7,""Free to Play"":5}"
850|236090|Dust: An Elysian Tail|Humble Hearts LLC|Xbox Game Studios|16814|781|337|0|175|0|15|Action, Adventure, Indie, RPG|"{""Action"":798,""Platformer"":772,""Metroidvania"":705,""Indie"":679,""RPG"":616,""Adventure"":564,""2D"":545,""Singleplayer"":513,""Fantasy"":414,""Great Soundtrack"":398,""Beat 'em up"":361,""Hack and Slash"":302,""Exploration"":255,""Story Rich"":237,""Controller"":213,""Beautiful"":208,""Side Scroller"":176,""Anime"":171,""Action RPG"":159,""Atmospheric"":158}"
851|24780|SimCity 4 Deluxe Edition|EA - Maxis, Aspyr (Mac)|Electronic Arts, Aspyr (Mac)|5874|1394|773|164|123|164|376|Simulation, Strategy|"{""Immersive Sim"":739,""Base-Building"":719,""City Builder"":707,""Sandbox"":704,""Building"":702,""Economy"":697,""Management"":692,""God Game"":686,""Strategy"":685,""Isometric"":680,""Casual"":676,""Simulation"":673,""Realistic"":289,""Family Friendly"":287,""Moddable"":282,""Atmospheric"":278,""Old School"":272,""Multiplayer"":264,""Singleplayer"":255,""Classic"":243}"
852|57900|Duke Nukem Forever|Gearbox Software|2K|6317|2972|344|0|256|0|31|Action|"{""FPS"":328,""Action"":291,""Nudity"":179,""Shooter"":157,""Aliens"":152,""Singleplayer"":147,""Comedy"":125,""Multiplayer"":116,""Sci-fi"":116,""First-Person"":113,""Mature"":103,""Funny"":85,""Gore"":79,""Dark Humor"":73,""Classic"":61,""Adventure"":48,""Memes"":39,""Old School"":37,""Linear"":34,""Atmospheric"":30}"
853|648120|Pixel Painter|Dio Alias Games|Dio Alias Games|742|256|314|0|269|0|7|Casual, Indie|"{""Education"":272,""Casual"":265,""Word Game"":263,""PvP"":260,""Board Game"":258,""Arcade"":248,""Experimental"":245,""3D Vision"":238,""First-Person"":233,""Cute"":226,""Text-Based"":217,""Simulation"":211,""Puzzle"":206,""Abstract"":198,""Design & Illustration"":192,""Minimalist"":177,""Pixel Graphics"":170,""Hand-drawn"":160,""Stylized"":148,""Colorful"":145}"
854|1178830|Bright Memory: Infinite|FYQD-Studio|FYQD-Studio, PLAYISM|28612|2221|151|110|136|110|159|Action, Indie|"{""Action"":253,""Female Protagonist"":203,""Indie"":181,""FPS"":167,""Sexual Content"":162,""Singleplayer"":133,""Sci-fi"":126,""First-Person"":115,""Hack and Slash"":113,""Shooter"":111,""Gore"":107,""Violent"":96,""Mature"":86,""Souls-like"":54,""Short"":33,""Character Customization"":30,""Multiplayer"":24,""Swordplay"":14,""Futuristic"":13,""Realistic"":13}"
855|201870|Assassin's Creed Revelations|Ubisoft Montreal|Ubisoft|10976|1838|1343|804|724|804|241|Action, Adventure|"{""Action"":386,""Open World"":354,""Parkour"":327,""Adventure"":318,""Stealth"":310,""Assassin"":293,""Third Person"":276,""Multiplayer"":214,""Historical"":205,""Singleplayer"":169,""Story Rich"":136,""Atmospheric"":124,""Action-Adventure"":115,""Great Soundtrack"":112,""Medieval"":106,""Conspiracy"":93,""Controller"":66,""Sandbox"":60,""RPG"":58,""Sci-fi"":31}"
856|313120|Stranded Deep|Beam Team Games|Beam Team Publishing|28015|9221|837|1|348|1|528|Adventure, Indie|"{""Open World Survival Craft"":2915,""Survival"":2741,""Multiplayer"":2093,""Open World"":1888,""Crafting"":1778,""First-Person"":1242,""Adventure"":1222,""Exploration"":1158,""Realistic"":1080,""Singleplayer"":1059,""Building"":1038,""Sandbox"":821,""Co-op"":765,""Simulation"":702,""Early Access"":664,""Underwater"":610,""Action"":509,""Atmospheric"":470,""Indie"":403,""Strategy"":393}"
857|217200|Worms Armageddon|Team17 Digital Ltd|Team17 Digital Ltd|7557|454|320|9|130|9|181|Strategy|"{""Strategy"":202,""Multiplayer"":182,""Classic"":151,""Turn-Based"":125,""Turn-Based Strategy"":114,""Funny"":105,""2D"":96,""Local Multiplayer"":87,""Comedy"":75,""Co-op"":62,""Physics"":61,""Local Co-Op"":46,""Action"":40,""Platformer"":36,""Singleplayer"":36,""Party"":35,""1990's"":31,""Retro"":24,""Online Co-Op"":18,""Adventure"":17}"
858|1301210|Knockout City|Velan Studios|Velan Studios|6469|1062|226|199|130|199|167|Action, Adventure, Free to Play, Indie, Sports|"{""Multiplayer"":196,""Sports"":175,""Team-Based"":166,""Third Person"":160,""Action-Adventure"":157,""PvP"":154,""Action"":151,""Physics"":145,""Co-op"":143,""Competitive"":141,""Adventure"":140,""Free to Play"":120,""LGBTQ+"":114,""Indie"":106,""Fighting"":100,""Fast-Paced"":97,""Singleplayer"":78,""Character Customization"":35,""Controller"":15,""Action Roguelike"":10}"
859|208480|Assassin\u2019s Creed III|Ubisoft Montreal|Ubisoft|10350|3591|1520|0|1039|0|39|Adventure|"{""Adventure"":576,""Open World"":566,""Action"":548,""Assassin"":496,""Parkour"":494,""Stealth"":441,""Third Person"":411,""Historical"":396,""Multiplayer"":250,""America"":207,""Singleplayer"":188,""Story Rich"":147,""Hunting"":144,""Atmospheric"":135,""Action-Adventure"":120,""Sandbox"":87,""Alternate History"":81,""Conspiracy"":72,""Controller"":63,""Casual"":28}"
860|210970|The Witness|Thekla, Inc.|Thekla, Inc.|12349|2140|398|0|158|0|92|Adventure, Indie|"{""Puzzle"":683,""Exploration"":409,""First-Person"":367,""Open World"":333,""Singleplayer"":321,""Colorful"":284,""Indie"":264,""Atmospheric"":256,""Difficult"":235,""Walking Simulator"":230,""Adventure"":223,""Mystery"":114,""Nonlinear"":111,""Relaxing"":101,""Philosophical"":95,""Casual"":80,""Surreal"":78,""Great Soundtrack"":53,""Story Rich"":41,""Sandbox"":22}"
861|423230|Furi|The Game Bakers|The Game Bakers|9056|906|368|18|295|18|26|Action|"{""Action"":595,""Difficult"":587,""Bullet Hell"":583,""Singleplayer"":579,""Indie"":575,""Hack and Slash"":565,""Boss Rush"":562,""Atmospheric"":562,""Fast-Paced"":557,""Beat 'em up"":553,""Controller"":549,""Story Rich"":546,""Sci-fi"":544,""Cyberpunk"":540,""Shoot 'Em Up"":538,""Third Person"":535,""Top-Down"":533,""Great Soundtrack"":523,""Replay Value"":159,""Violent"":143}"
